Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
6,donor_age,Donor Age,11,0.07039154682743512,0.0681396563958524,0.0022518904315827204
6,donor_age,Donor Age,12,0.07039154682743512,0.07256925812587493,-0.0021777112984398134
6,donor_age,Donor Age,13,0.07039154682743512,0.06996944469494819,0.00042210213248693174
6,donor_age,Donor Age,14,0.07039154682743512,0.06746480818800622,0.002926738639428897
6,donor_age,Donor Age,15,0.07039154682743512,0.07372566878228956,-0.003334121954854441
6,donor_age,Donor Age,16,0.07039154682743512,0.06871728718700643,0.0016742596404286936
6,donor_age,Donor Age,17,0.07039154682743512,0.07114101227186784,-0.0007494654444327176
6,donor_age,Donor Age,18,0.07039154682743512,0.07165911170892815,-0.0012675648814930301
6,donor_age,Donor Age,19,0.07039154682743512,0.07607231440985733,-0.005680767582422211
6,donor_age,Donor Age,20,0.07039154682743512,0.07133765595535957,-0.0009461091279244493
6,donor_age,Donor Age,21,0.07039154682743512,0.07186401104441822,-0.0014724642169831048
6,donor_age,Donor Age,22,0.07039154682743512,0.07594113843951869,-0.005549591612083571
6,donor_age,Donor Age,23,0.07039154682743512,0.07197592348129277,-0.001584376653857647
6,donor_age,Donor Age,24,0.07039154682743512,0.07303435829744967,-0.00264281147001455
6,donor_age,Donor Age,25,0.07039154682743512,0.07706880435038263,-0.006677257522947511
6,donor_age,Donor Age,26,0.07039154682743512,0.07046578434393333,-7.423751649821009e-05
6,donor_age,Donor Age,27,0.07039154682743512,0.06953337105125776,0.0008581757761773612
6,donor_age,Donor Age,28,0.07039154682743512,0.07015400093770784,0.00023754588972728363
6,donor_age,Donor Age,29,0.07039154682743512,0.06808791577220792,0.0023036310552271982
6,donor_age,Donor Age,30,0.07039154682743512,0.07255220195812762,-0.002160655130692496
7,feature_gender_identity,Gender Identity,1,0.07039154682743512,0.06655145939370471,0.0038400874337304047
7,feature_gender_identity,Gender Identity,2,0.07039154682743512,0.06487875810834232,0.005512788719092804
7,feature_gender_identity,Gender Identity,3,0.07039154682743512,0.06845981483733926,0.0019317319900958585
7,feature_gender_identity,Gender Identity,4,0.07039154682743512,0.06633566204909956,0.004055884778335558
7,feature_gender_identity,Gender Identity,5,0.07039154682743512,0.06742656908709571,0.0029649777403394084
7,feature_gender_identity,Gender Identity,6,0.07039154682743512,0.06605808263345678,0.0043334641939783425
7,feature_gender_identity,Gender Identity,7,0.07039154682743512,0.06636329628453608,0.004028250542899042
7,feature_gender_identity,Gender Identity,8,0.07039154682743512,0.06720120521676315,0.0031903416106719706
7,feature_gender_identity,Gender Identity,9,0.07039154682743512,0.06387073950265085,0.006520807324784272
